"StrongNegativeEmoticon",-2
"MajorProblem",-2
"MinorProblem",-1
"NeutralEmoticon",0
"NeutralSentiment",0
"StrongNegativeEmoticon",-2
"StrongNegativeSentiment",-2
"StrongPositiveEmoticon",2
"StrongPositiveSentiment",2
"WeakNegativeEmoticon",-1
"WeakNegativeSentiment",-1
"WeakPositiveEmoticon",1
"WeakPositiveSentiment",1
